year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,620732101.0,0.0,1.0,10.012499809265137,61.0,1.0,,1.0,1.0,0.0,,63.0,,1.0,0.0,3.0,3.0,甘肃,0.33333334,1.3602226
2014,510296103.0,1.0,0.0,67.94999694824219,31.0,1.0,15.0,1.0,4.0,1.0,4.0,56.0,3000.0,1.0,18000.0,3.0,2.0,四川,0.25,0.45648772
2014,410907102.0,0.0,1.0,26.153749465942383,45.0,0.0,0.0,1.0,4.0,0.0,,15.0,,1.0,0.0,2.0,3.0,河南,0.0,2.8068967
2014,310466102.0,1.0,0.0,1335.6318359375,33.0,0.0,16.0,1.0,3.0,0.0,16.0,40.0,2000.0,1.0,70000.0,4.0,3.0,上海,0.5,1.7056115
2014,520379101.0,0.0,1.0,8.117500305175781,57.0,0.0,,1.0,1.0,0.0,,70.0,,1.0,0.0,3.0,3.0,贵州,0.0,0.08928572
2014,130563101.0,0.0,1.0,31.716249465942383,33.0,1.0,6.0,1.0,5.0,0.0,,70.0,,1.0,27500.0,3.0,3.0,河北,1.0,0.92875314
2014,230279101.0,1.0,0.0,20.951000213623047,36.0,1.0,12.0,0.0,4.0,1.0,18.0,38.0,3000.0,1.0,30000.0,3.0,3.0,黑龙江,0.0,0.79744816
2014,320256101.0,1.0,1.0,82.5999984741211,41.0,0.0,9.0,1.0,2.0,1.0,3.0,84.0,2300.0,1.0,26000.0,3.0,2.0,江苏,0.5,0.7293277
2014,442000501.0,1.0,1.0,36.64500045776367,26.0,0.0,9.0,1.0,3.0,0.0,,14.0,,1.0,0.0,3.0,3.0,广东,0.6666667,0.21086073
2014,312295101.0,1.0,0.0,191.89999389648438,59.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,2.0,,上海,0.25,1.7333333
2014,140079105.0,0.0,0.0,20.84882354736328,30.0,0.0,9.0,1.0,4.0,0.0,,,,0.0,,3.0,,山西,0.5,0.94262296
2014,310593101.0,1.0,0.0,207.30999755859375,53.0,0.0,12.0,1.0,2.0,0.0,19.0,28.0,1900.0,1.0,23000.0,2.0,4.0,上海,0.0,1.0335276
2014,312341102.0,1.0,0.0,133.3699951171875,33.0,0.0,16.0,1.0,3.0,0.0,10.0,,,1.0,,3.0,4.0,上海,0.5,1.2120233
2014,230619102.0,1.0,0.0,9.579999923706055,28.0,0.0,6.0,1.0,3.0,0.0,,,,0.0,,2.0,,黑龙江,0.0,2.3778503
2014,510793101.0,1.0,1.0,32.5004997253418,50.0,1.0,9.0,1.0,5.0,0.0,,20.0,,1.0,0.0,4.0,3.0,四川,0.5,
2014,411534101.0,1.0,1.0,0.7555000185966492,61.0,1.0,9.0,0.0,1.0,0.0,11.0,84.0,900.0,1.0,9600.0,2.0,3.0,河南,0.0,0.5284091
2014,620556101.0,0.0,1.0,18.945999145507812,43.0,0.0,0.0,1.0,2.0,0.0,,50.0,,1.0,2400.0,1.0,3.0,甘肃,0.25,1.3823807
2014,620908103.0,0.0,0.0,4.199999809265137,25.0,1.0,12.0,0.0,3.0,1.0,3.0,84.0,2500.0,1.0,2000.0,2.0,3.0,,0.0,1.3812156
